id_x,img_x,img_y
1475,210,961
1476,330,961
1477,450,961
1478,570,961
1479,690,961
1480,810,961
1481,930,961
1482,1050,961
1483,30,901
1484,150,901
1485,270,901
1486,390,901
1487,510,901
1488,630,901
1489,750,901
1490,870,901
1491,990,901
1492,90,841
1493,210,841
1494,330,841
1495,450,841
1496,570,841
1497,690,841
1498,810,841
1499,930,841
1500,1050,841
1501,30,781
1502,150,781
1503,270,781
1504,390,781
1505,510,781
1506,630,781
1507,750,781
1508,870,781
1509,990,781
1510,90,721
1511,210,721
1512,330,721
1513,450,721
1514,570,721
1515,690,721
1516,810,721
1517,930,721
1518,1050,721
1519,30,661
1520,150,661
1521,270,661
1522,390,661
1523,510,661
1524,630,661
1525,750,661
1526,870,661
1527,990,661
1528,90,601
1529,210,601
1530,330,601
1531,450,601
1532,570,601
1533,690,601
1534,810,601
1535,930,601
1536,1050,601
1537,30,541
1538,150,541
1539,270,541
1540,390,541
1541,510,541
1542,630,541
1543,750,541
1544,870,541
1545,990,541
1546,90,481
1547,210,481
1548,330,481
1549,450,481
1550,570,481
1551,690,481
1552,810,481
1553,930,481
1554,1050,481
1555,30,421
1556,150,421
1557,270,421
1558,390,421
1559,510,421
1560,630,421
1561,750,421
1562,870,421
1563,990,421
1564,90,361
1565,210,361
1566,330,361
1567,450,361
1568,570,361
1569,690,361
1570,810,361
1571,930,361
1572,1050,361
1573,30,301
1574,150,301
1575,270,301
1576,390,301
1577,510,301
1578,630,301
1579,750,301
1580,870,301
1581,990,301
1582,90,241
1583,210,241
1584,330,241
1585,450,241
1586,570,241
1587,690,241
1588,810,241
1589,930,241
1590,1050,241
1591,30,181
1592,150,181
1593,270,181
1594,390,181
1595,510,181
1596,630,181
1597,750,181
1598,870,181
1599,990,181
